State,Striped Maple,Eastern White Pine,Flowering Dogwood,Sassafras,American Beech,Norway Maple,Slippery Elm,White Oak,Sugar Maple,Red Spruce,Red Oak,Tuliptree
Alabama,0,1,1,1,1,0,1,1,1,0,1,1
Arkansas,0,1,1,1,1,0,1,1,1,0,1,1
Connecticut,1,1,1,1,1,1,1,1,1,1,1,1
Delaware,0,0,1,1,1,1,1,1,1,0,1,1
District of Columbia,0,1,1,1,1,1,1,0,0,0,1,1
Florida,0,0,1,1,1,0,1,1,0,0,0,1
Georgia,1,1,1,1,1,0,1,1,1,0,1,1
Idaho,0,0,0,0,0,1,0,0,0,0,0,0
Illinois,0,1,1,1,1,1,1,1,1,0,1,1
Indiana,0,1,1,1,1,0,1,1,1,0,1,1
Iowa,0,0,0,0,0,0,1,1,1,0,1,0
Kansas,0,0,1,1,0,0,1,1,1,0,1,0
Kentucky,1,1,1,1,1,1,1,1,1,0,1,1
Louisiana,0,0,1,1,1,0,1,1,1,0,1,1
Maine,1,1,1,1,1,1,1,1,1,1,1,0
Maryland,0,1,0,0,0,0,0,0,0,1,0,0
Massachusetts,1,1,1,1,1,1,1,1,1,1,1,1
Michigan,1,1,1,1,1,1,1,1,1,0,1,1
Minnesota,0,1,0,0,0,0,1,1,1,0,1,0
Mississippi,0,0,1,1,1,0,1,1,1,0,1,1
Missouri,0,1,1,1,1,0,1,1,1,0,1,1
Montana,0,0,0,0,0,1,0,0,0,0,0,0
Nebraska,0,0,0,0,0,0,1,1,0,0,1,0
New Hampshire,1,1,1,1,1,1,1,1,1,1,1,0
New Jersey,1,1,1,1,1,1,1,1,1,1,1,1
New York,1,1,1,1,1,1,1,1,1,1,1,1
North Carolina,1,1,1,1,1,0,1,1,1,1,1,1
North Dakota,0,,0,0,0,0,1,0,0,0,0,0
Ohio,1,1,1,1,1,1,1,1,1,0,1,1
Oklahoma,0,0,1,1,1,0,1,1,1,0,1,0
Oregon,0,0,0,0,0,1,0,0,0,0,0,0
Pennsylvania,1,1,1,1,1,1,1,1,1,1,1,1
Rhode Island,1,1,1,1,1,1,1,1,1,0,1,1
South Carolina,1,1,1,1,1,0,1,1,0,0,1,1
South Dakota,0,0,0,0,0,0,0,0,1,0,0,0
Tennessee,1,1,1,1,1,1,1,1,1,1,1,1
Texas,0,0,1,1,1,0,1,1,0,0,0,1
Vermont,1,1,1,1,1,1,1,1,1,1,1,1
Virginia,1,1,1,1,1,1,1,1,1,1,1,1
Washington,0,0,0,0,0,1,0,0,0,0,0,0
West Virginia,1,1,1,1,1,1,1,1,1,1,1,1
Wisconsin,1,1,0,1,1,1,1,1,1,0,1,0
